| in1=01101010 | in2=10010101 | Hamming Distance=01000 |
| in1=01101011 | in2=10010100 | Hamming Distance=01000 |
| in1=01101100 | in2=10010011 | Hamming Distance=01000 |
| in1=01101101 | in2=10010010 | Hamming Distance=01000 |
| in1=01101110 | in2=10010001 | Hamming Distance=01000 |
| in1=01101111 | in2=10010000 | Hamming Distance=01000 |
| in1=01110000 | in2=10001111 | Hamming Distance=01000 |
| in1=01110001 | in2=10001110 | Hamming Distance=01000 |
| in1=01110010 | in2=10001101 | Hamming Distance=01000 |
| in1=01110011 | in2=10001100 | Hamming Distance=01000 |
| in1=01110100 | in2=10001011 | Hamming Distance=01000 |
| in1=01110101 | in2=10001010 | Hamming Distance=01000 |
| in1=01110110 | in2=10001001 | Hamming Distance=01000 |
| in1=01110111 | in2=10001000 | Hamming Distance=01000 |
| in1=01111000 | in2=10000111 | Hamming Distance=01000 |
| in1=01111001 | in2=10000110 | Hamming Distance=01000 |
| in1=01111010 | in2=10000101 | Hamming Distance=01000 |
| in1=01111011 | in2=10000100 | Hamming Distance=01000 |
| in1=01111100 | in2=10000011 | Hamming Distance=01000 |
| in1=01111101 | in2=10000010 | Hamming Distance=01000 |
| in1=01111110 | in2=10000001 | Hamming Distance=01000 |
| in1=01111111 | in2=10000000 | Hamming Distance=01000 |
